6607.238: [GC 6607.238: [ParNew: 1367056K->112270K(1415616K), 0.0580710 secs] 3164081K->1919518K(8231360K), 0.0583890 secs] [Times: user=0.65 sys=0.04, real=0.06 secs] 
6611.513: [GC 6611.513: [ParNew: 1370638K->122406K(1415616K), 0.0560970 secs] 3177886K->1940373K(8231360K), 0.0564380 secs] [Times: user=0.65 sys=0.02, real=0.06 secs] 
6613.718: [GC 6613.719: [ParNew: 1380774K->121155K(1415616K), 0.0601210 secs] 3198741K->1950353K(8231360K), 0.0604660 secs] [Times: user=0.68 sys=0.05, real=0.06 secs] 
6615.928: [GC 6615.928: [ParNew: 1379523K->137399K(1415616K), 0.0585740 secs] 3208721K->1977349K(8231360K), 0.0588940 secs] [Times: user=0.70 sys=0.03, real=0.06 secs] 
6618.268: [GC 6618.268: [ParNew: 1395767K->105722K(1415616K), 0.0585570 secs] 3235717K->1956741K(8231360K), 0.0588740 secs] [Times: user=0.68 sys=0.03, real=0.06 secs] 
6620.118: [GC 6620.119: [ParNew: 1364090K->120761K(1415616K), 0.0574460 secs] 3215109K->1983195K(8231360K), 0.0577610 secs] [Times: user=0.65 sys=0.03, real=0.06 secs] 
6621.848: [GC 6621.848: [ParNew: 1379129K->126155K(1415616K), 0.0531140 secs] 3241563K->1999115K(8231360K), 0.0534320 secs] [Times: user=0.62 sys=0.03, real=0.05 secs] 
6623.530: [GC 6623.530: [ParNew: 1384523K->121786K(1415616K), 0.0521930 secs] 3257483K->2005406K(8231360K), 0.0524890 secs] [Times: user=0.59 sys=0.03, real=0.05 secs] 
6626.135: [GC 6626.135: [ParNew: 1380154K->106326K(1415616K), 0.0541690 secs] 3263774K->2000827K(8231360K), 0.0545050 secs] [Times: user=0.61 sys=0.02, real=0.06 secs] 
6631.601: [GC 6631.601: [ParNew: 1364694K->99282K(1415616K), 0.0498870 secs] 3259195K->2004712K(8231360K), 0.0502170 secs] [Times: user=0.53 sys=0.02, real=0.05 secs] 
7083.084: [GC 7083.084: [ParNew: 1357650K->81821K(1415616K), 0.0250430 secs] 3263080K->1987251K(8231360K), 0.0253920 secs] [Times: user=0.37 sys=0.00, real=0.03 secs] 
7570.282: [GC 7570.282: [ParNew: 1340189K->136676K(1415616K), 0.0299560 secs] 3245619K->2042106K(8231360K), 0.0303690 secs] [Times: user=0.45 sys=0.00, real=0.03 secs] 
7571.784: [GC 7571.784: [ParNew: 1395044K->157248K(1415616K), 0.0544320 secs] 3300474K->2072599K(8231360K), 0.0547740 secs] [Times: user=0.69 sys=0.02, real=0.05 secs] 
7573.367: [GC 7573.368: [ParNew: 1415616K->150478K(1415616K), 0.1251560 secs] 3330967K->2096316K(8231360K), 0.1254790 secs] [Times: user=0.80 sys=0.08, real=0.13 secs] 
7575.253: [GC 7575.254: [ParNew: 1408846K->145902K(1415616K), 0.1755020 secs] 3354684K->2135999K(8231360K), 0.1758540 secs] [Times: user=0.93 sys=0.14, real=0.17 secs] 
7576.850: [GC 7576.850: [ParNew: 1404270K->114587K(1415616K), 0.1205540 secs] 3394367K->2134762K(8231360K), 0.1209140 secs] [Times: user=0.79 sys=0.14, real=0.13 secs] 
7578.311: [GC 7578.312: [ParNew: 1372955K->112220K(1415616K), 0.1311620 secs] 3393130K->2164465K(8231360K), 0.1315070 secs] [Times: user=0.74 sys=0.11, real=0.14 secs] 
7579.788: [GC 7579.788: [ParNew: 1370588K->157248K(1415616K), 0.1211750 secs] 3422833K->2238980K(8231360K), 0.1215220 secs] [Times: user=0.83 sys=0.09, real=0.12 secs] 
7581.309: [GC 7581.309: [ParNew: 1415616K->157248K(1415616K), 0.1217890 secs] 3497348K->2270051K(8231360K), 0.1221300 secs] [Times: user=0.81 sys=0.09, real=0.12 secs] 
7582.840: [GC 7582.840: [ParNew: 1415616K->99932K(1415616K), 0.2355240 secs] 3528419K->2277966K(8231360K), 0.2358870 secs] [Times: user=0.99 sys=0.19, real=0.24 secs] 
